year,Bare,Built,Crops,Trees,Water
"2016",483.858,854.274,338.918,184.233,96.861
"2017",282.613,899.967,427.952,264.493,95.079
"2018",177.408,"1,058.187",523.116,142.114,72.995
"2019",254.71,"1,056.697",530.566,78.206,59.238
"2020",58.998,801.511,794.188,159.446,147.999
"2021",62.615,675.804,624.378,296.626,267.482
"2022",52.127,809.985,690.906,216.396,172.625
"2023",78.144,"1,036.178",592.569,156.347,94.024
"2024",255.343,975.049,394.9,217.49,109.209
"2025",101.187,999.37,565.071,225.166,88.625
