year,Built,Crops,Trees,Water
"2,016","361,486,074.868","1,470,000,833.77","263,216,302.881","116,308,438.005"
"2,017","350,482,660.739","833,843,911.632","897,593,333.516","144,952,179.286"
"2,018","408,319,981.191","1,127,156,098.385","587,241,790.189","125,028,942.128"
"2,019","438,546,829.235","1,286,482,372.484","423,952,517.052","114,700,416.326"
"2,020","447,554,812.637","1,345,385,086.727","334,285,890.441","135,019,209.014"
"2,021","489,813,133.437","1,143,431,686.355","484,066,808.202","141,400,659.419"
"2,022","444,515,096.374","1,248,112,469.636","464,459,325.826","134,697,837.606"
"2,023","543,736,975.935","890,657,632.81","706,121,613.69","121,522,317.302"
"2,024","529,710,837.557","1,263,859,228.65","318,396,979.695","143,212,192.55"
"2,025","366,559,156.441","720,285,113.775","1,079,621,765.907","143,266,655.548"
